station ID = gr (Granada)
system = KASCAL
signal = 355, parallel, photoncounting, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
4.1175,3.3986e-06,1.9173e+07
4.1250,3.3935e-06,1.9015e+07
4.1325,3.3885e-06,1.8573e+07
4.1400,3.3834e-06,1.8819e+07
4.1475,3.3784e-06,1.8971e+07
4.1550,3.3734e-06,1.8902e+07
4.1625,3.3684e-06,1.9257e+07
4.1700,3.3634e-06,1.9549e+07
4.1775,3.3584e-06,1.8799e+07
4.1850,3.3534e-06,1.8802e+07
4.1925,3.3484e-06,1.9170e+07
4.2000,3.3434e-06,1.9023e+07
4.2075,3.3385e-06,1.9795e+07
4.2150,3.3335e-06,1.9063e+07
4.2225,3.3286e-06,1.8270e+07
4.2300,3.3236e-06,1.8434e+07
4.2375,3.3187e-06,1.8510e+07
4.2450,3.3138e-06,1.8158e+07
4.2525,3.3089e-06,1.8653e+07
4.2600,3.3040e-06,1.8441e+07
4.2675,3.2991e-06,1.9451e+07
4.2750,3.2942e-06,1.8193e+07
4.2825,3.2894e-06,1.8480e+07
4.2900,3.2845e-06,1.7995e+07
4.2975,3.2796e-06,1.8228e+07
4.3050,3.2748e-06,1.8042e+07
4.3125,3.2699e-06,1.8661e+07
4.3200,3.2651e-06,1.8862e+07
4.3275,3.2603e-06,1.7854e+07
4.3350,3.2555e-06,1.7755e+07
4.3425,3.2507e-06,1.8806e+07
4.3500,3.2459e-06,1.7925e+07
4.3575,3.2411e-06,1.7987e+07
4.3650,3.2363e-06,1.8769e+07
4.3725,3.2315e-06,1.8309e+07
4.3800,3.2268e-06,1.8232e+07
4.3875,3.2220e-06,1.7907e+07
4.3950,3.2173e-06,1.8238e+07
4.4025,3.2125e-06,1.7840e+07
4.4100,3.2078e-06,1.7925e+07
4.4175,3.2031e-06,1.7486e+07
4.4250,3.1984e-06,1.7975e+07
4.4325,3.1937e-06,1.7725e+07
4.4400,3.1890e-06,1.7052e+07
4.4475,3.1843e-06,1.7772e+07
4.4550,3.1796e-06,1.7470e+07
4.4625,3.1749e-06,1.8366e+07
4.4700,3.1702e-06,1.7210e+07
4.4775,3.1656e-06,1.7305e+07
4.4850,3.1609e-06,1.7927e+07
4.4925,3.1563e-06,1.7974e+07
4.5000,3.1517e-06,1.7256e+07
4.5075,3.1470e-06,1.7513e+07
4.5150,3.1424e-06,1.8179e+07
4.5225,3.1378e-06,1.7180e+07
4.5300,3.1332e-06,1.7088e+07
4.5375,3.1286e-06,1.8600e+07
4.5450,3.1240e-06,1.7818e+07
4.5525,3.1195e-06,1.7270e+07
4.5600,3.1149e-06,1.7048e+07
4.5675,3.1103e-06,1.7601e+07
4.5750,3.1058e-06,1.7263e+07
4.5825,3.1012e-06,1.7064e+07
4.5900,3.0967e-06,1.6824e+07
4.5975,3.0922e-06,1.7035e+07
4.6050,3.0876e-06,1.7193e+07
4.6125,3.0831e-06,1.7794e+07
4.6200,3.0786e-06,1.7397e+07
4.6275,3.0741e-06,1.7296e+07
4.6350,3.0696e-06,1.6816e+07
4.6425,3.0651e-06,1.7461e+07
4.6500,3.0607e-06,1.7821e+07
4.6575,3.0562e-06,1.7522e+07
4.6650,3.0517e-06,1.6663e+07
4.6725,3.0473e-06,1.6212e+07
4.6800,3.0428e-06,1.6771e+07
4.6875,3.0384e-06,1.6757e+07
4.6950,3.0340e-06,1.7213e+07
4.7025,3.0295e-06,1.6676e+07
