station ID = gr (Granada)
system = VELETA
signal = 355, perpendicular, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
1702.5000,3.2233e+07,3.7349e+07,2.4970e+07,3.1632e+07,355xsp
1710.0000,3.4150e+07,3.6213e+07,2.4139e+07,3.1538e+07,355xsp
1717.5000,3.3400e+07,3.7358e+07,2.4697e+07,3.3795e+07,355xsp
1725.0000,3.4705e+07,3.7756e+07,2.4599e+07,3.1167e+07,355xsp
1732.5000,3.3237e+07,3.7243e+07,2.3915e+07,3.1101e+07,355xsp
1740.0000,3.4127e+07,3.8616e+07,2.4210e+07,3.2220e+07,355xsp
1747.5000,3.1783e+07,3.7482e+07,2.3987e+07,3.2895e+07,355xsp
1755.0000,3.3563e+07,3.7803e+07,2.4029e+07,3.1020e+07,355xsp
1762.5000,3.2555e+07,3.6285e+07,2.2929e+07,3.0572e+07,355xsp
1770.0000,3.2153e+07,3.5440e+07,2.3945e+07,3.2100e+07,355xsp
1777.5000,3.3281e+07,3.6982e+07,2.4481e+07,3.0527e+07,355xsp
1785.0000,3.4129e+07,3.6581e+07,2.3063e+07,3.0913e+07,355xsp
1792.5000,3.3249e+07,3.8792e+07,2.3956e+07,3.1172e+07,355xsp
1800.0000,3.2447e+07,3.8067e+07,2.3719e+07,3.0829e+07,355xsp
1807.5000,3.2271e+07,3.6334e+07,2.3058e+07,3.1309e+07,355xsp
1815.0000,3.2864e+07,3.7726e+07,2.4657e+07,3.2647e+07,355xsp
1822.5000,3.2798e+07,3.6755e+07,2.4082e+07,3.3080e+07,355xsp
1830.0000,3.1261e+07,3.5466e+07,2.3929e+07,3.1293e+07,355xsp
1837.5000,3.3487e+07,3.8115e+07,2.3970e+07,3.1052e+07,355xsp
1845.0000,3.2276e+07,3.6520e+07,2.3471e+07,3.2123e+07,355xsp
1852.5000,3.1907e+07,3.7065e+07,2.3799e+07,3.0833e+07,355xsp
1860.0000,3.3111e+07,3.7016e+07,2.4011e+07,3.2233e+07,355xsp
1867.5000,3.2240e+07,3.7439e+07,2.4022e+07,3.1782e+07,355xsp
1875.0000,3.1913e+07,3.7275e+07,2.3827e+07,3.2560e+07,355xsp
1882.5000,3.2722e+07,3.7445e+07,2.3998e+07,3.1392e+07,355xsp
1890.0000,3.2553e+07,3.5612e+07,2.3626e+07,3.0122e+07,355xsp
1897.5000,3.0743e+07,3.6299e+07,2.3770e+07,2.9848e+07,355xsp
1905.0000,3.2147e+07,3.7740e+07,2.3115e+07,2.9770e+07,355xsp
1912.5000,3.2251e+07,3.5175e+07,2.3574e+07,3.0645e+07,355xsp
1920.0000,3.3097e+07,3.6294e+07,2.1684e+07,2.9847e+07,355xsp
1927.5000,3.1853e+07,3.6836e+07,2.4573e+07,3.0615e+07,355xsp
1935.0000,3.2369e+07,3.5519e+07,2.5642e+07,3.0831e+07,355xsp
1942.5000,3.1486e+07,3.5142e+07,2.3464e+07,3.0081e+07,355xsp
1950.0000,3.0631e+07,3.6160e+07,2.3273e+07,3.0320e+07,355xsp
1957.5000,3.3536e+07,3.5437e+07,2.2628e+07,3.1928e+07,355xsp
