station ID = gr (Granada)
system = KASCAL
signal = 355, perpendicular, analog, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
4.1550,3.3734e-06,1.3999e+05
4.1625,3.3684e-06,1.5249e+05
4.1700,3.3634e-06,1.5986e+05
4.1775,3.3584e-06,1.6352e+05
4.1850,3.3534e-06,1.5658e+05
4.1925,3.3484e-06,1.4621e+05
4.2000,3.3434e-06,1.5239e+05
4.2075,3.3385e-06,1.5058e+05
4.2150,3.3335e-06,1.4172e+05
4.2225,3.3286e-06,1.4509e+05
4.2300,3.3236e-06,1.4901e+05
4.2375,3.3187e-06,1.4964e+05
4.2450,3.3138e-06,1.3629e+05
4.2525,3.3089e-06,1.5811e+05
4.2600,3.3040e-06,1.5848e+05
4.2675,3.2991e-06,1.4755e+05
4.2750,3.2942e-06,1.5496e+05
4.2825,3.2894e-06,1.5069e+05
4.2900,3.2845e-06,1.4153e+05
4.2975,3.2796e-06,1.5105e+05
4.3050,3.2748e-06,1.4629e+05
4.3125,3.2699e-06,1.4089e+05
4.3200,3.2651e-06,1.3667e+05
4.3275,3.2603e-06,1.3672e+05
4.3350,3.2555e-06,1.4395e+05
4.3425,3.2507e-06,1.4964e+05
4.3500,3.2459e-06,1.2942e+05
4.3575,3.2411e-06,1.3628e+05
4.3650,3.2363e-06,1.5127e+05
4.3725,3.2315e-06,1.5416e+05
4.3800,3.2268e-06,1.4894e+05
4.3875,3.2220e-06,1.4439e+05
4.3950,3.2173e-06,1.4087e+05
4.4025,3.2125e-06,1.4353e+05
4.4100,3.2078e-06,1.5052e+05
4.4175,3.2031e-06,1.3986e+05
4.4250,3.1984e-06,1.3400e+05
4.4325,3.1937e-06,1.4795e+05
4.4400,3.1890e-06,1.5705e+05
4.4475,3.1843e-06,1.4175e+05
4.4550,3.1796e-06,1.2917e+05
4.4625,3.1749e-06,1.3975e+05
4.4700,3.1702e-06,1.4937e+05
4.4775,3.1656e-06,1.4622e+05
4.4850,3.1609e-06,1.3343e+05
4.4925,3.1563e-06,1.4615e+05
4.5000,3.1517e-06,1.5262e+05
4.5075,3.1470e-06,1.4347e+05
4.5150,3.1424e-06,1.4592e+05
4.5225,3.1378e-06,1.3383e+05
4.5300,3.1332e-06,1.3058e+05
4.5375,3.1286e-06,1.3183e+05
4.5450,3.1240e-06,1.2567e+05
4.5525,3.1195e-06,1.3426e+05
4.5600,3.1149e-06,1.2784e+05
4.5675,3.1103e-06,1.2941e+05
4.5750,3.1058e-06,1.4333e+05
4.5825,3.1012e-06,1.3549e+05
4.5900,3.0967e-06,1.2846e+05
4.5975,3.0922e-06,1.3995e+05
4.6050,3.0876e-06,1.3488e+05
4.6125,3.0831e-06,1.3072e+05
4.6200,3.0786e-06,1.2387e+05
4.6275,3.0741e-06,1.3793e+05
4.6350,3.0696e-06,1.4543e+05
4.6425,3.0651e-06,1.2974e+05
4.6500,3.0607e-06,1.1643e+05
4.6575,3.0562e-06,1.2220e+05
4.6650,3.0517e-06,1.3375e+05
4.6725,3.0473e-06,1.2788e+05
4.6800,3.0428e-06,1.2517e+05
4.6875,3.0384e-06,1.1106e+05
4.6950,3.0340e-06,1.1423e+05
4.7025,3.0295e-06,1.4645e+05
